,bountyGold,dangerPings,objectivesStolen,epicMonsterSteals,firstTowerAssist,visionClearedPings,totalUnitsHealed,physicalDamageDealtToChampions,scuttleCrabKills,champLevel,detectorWardsPlaced,totalHeal,takedownOnFirstTurret,laneMinionsFirst10Minutes,perfectGame,role,inhibitorKills,spell3Casts,turretsTakenWithRiftHerald,multikills,abilityUses,inhibitorTakedowns,goldEarned,largestMultiKill,assistMePings,neutralMinionsKilled,killParticipation,championName,gameEndedInSurrender,killsUnderOwnTurret,teamEarlySurrendered,summoner1Casts,timeCCingOthers,elderDragonMultikills,doubleKills,takedowns,totalHealsOnTeammates,individualPosition,spell4Casts,killingSprees,itemsPurchased,visionWardsBoughtInGame,legendaryCount,timePlayed,fullTeamTakedown,moreEnemyJungleThanOpponent,unseenRecalls,spell1Casts,visionScore,item2,immobilizeAndKillWithAlly,saveAllyFromDeath,win,item4,snowballsHit,turretsLost,pickKillWithAlly,commandPings,onMyWayPings,baitPings,statPerks.flex,largestKillingSpree,holdPings,turretKills,allInPings,physicalDamageDealt,turretTakedowns,assists,goldPerMinute,teamDamagePercentage,damageSelfMitigated,baronTakedowns,dragonTakedowns,alliedJungleMonsterKills,firstBloodAssist,totalMinionsKilled,deaths,item5,lostAnInhibitor,hadOpenNexus,multiKillOneSpell,bountyLevel,physicalDamageTaken,buffsStolen,killsOnOtherLanesEarlyJungleAsLaner,totalAllyJungleMinionsKilled,outnumberedKills,damagePerMinute,eligibleForProgression,pentaKills,item3,stealthWardsPlaced,getBackPings,spell2Casts,tripleKills,skillshotsDodged,teamRiftHeraldKills,totalDamageDealtToChampions,statPerks.defense,champExperience,enemyJungleMonsterKills,takedownsFirstXMinutes,damageTakenOnTeamPercentage,effectiveHealAndShielding,consumablesPurchased,turretPlatesTaken,wardTakedownsBefore20M,quadraKills,enemyMissingPings,summoner2Casts,firstBloodKill,goldSpent,longestTimeSpentLiving,quickFirstTurret,gameEndedInEarlySurrender,totalTimeSpentDead,damageDealtToObjectives,sightWardsBoughtInGame,totalDamageTaken,wardTakedowns,dragonKills,kills,riftHeraldTakedowns,largestCriticalStrike,skillshotsHit,killingSprees,wardsKilled,enemyVisionPings,soloKills,item0,basicPings,item6,damageDealtToTurrets,gameLength,acesBefore15Minutes,controlWardsPlaced,totalTimeCCDealt,kTurretsDestroyedBeforePlatesFall,teamElderDragonKills,baronKills,multikillsAfterAggressiveFlash,magicDamageTaken,maxKillDeficit,killAfterHiddenWithAlly,landSkillShotsEarlyGame,statPerks.offense,damageDealtToBuildings,12AssistStreakCount,takedownsAfterGainingLevelAdvantage,inhibitorsLost,firstTurretKilled,firstTowerKill,enemyChampionImmobilizations,jungleCsBefore10Minutes,summonerName,turretTakedowns,kda,lane,killsNearEnemyTurret,teamBaronKills,magicDamageDealt,item1,teamPosition,totalDamageDealt,wardsGuarded,elderDragonKillsWithOpposingSoul,unrealKills,wardsPlaced,flawlessAces,takedownsBeforeJungleMinionSpawn,magicDamageDealtToChampions,completeSupportQuestInTime,needVisionPings,totalDamageShieldedOnTeammates
0,750,0,0,0,False,0,1,22214,0,18,0,4548,1,33,0,SUPPORT,1,23,0,4,154,2,14938,2,0,0,0.6428571428571429,Jinx,False,3,False,4,27,0,4,36,0,Invalid,8,0,18,0,0,1091,4,0,0,81,0,3031,7,0,True,1038,0,1,18,0,1,0,5008,2,0,0,0,91233,3,24,821.2979335098117,0.1796102227835413,8423,0,0,0,False,82,7,1053,0,0,0,2,8221,0,0,0,0,1314.3905154145032,True,0,3085,0,0,42,0,44,0,23907,5002,20763,0,28,0.1562255172236411,0.0,2,0,0,0,0,3,False,12600,210,1,False,190,3268,0,19473,0,0,12,0,696,30,6,0,0,1,6672,0,2052,3268,1091.3588183,4,0,59,1,0,0,0,8978,9,10,14,5005,3268,0,0,0,1,False,15,0,Masgt7,3,5.142857142857143,NONE,1,0,4820,3006,,98733,0,0,0,0,1,0,1693,0,0,0
0,300,0,0,0,False,0,1,12895,0,16,0,3047,0,28,0,SUPPORT,0,16,0,1,118,0,11574,2,0,0,0.6176470588235294,Gnar,False,1,False,3,28,0,1,21,0,Invalid,5,0,19,0,0,1073,1,0,0,82,0,1036,5,0,False,4401,4,4,15,0,0,0,5008,2,0,0,0,43522,0,14,647.0027868085563,0.1914415321006219,34225,0,0,0,False,46,9,1029,0,0,0,0,12896,0,0,0,0,800.9334990948166,True,0,3047,0,0,15,0,22,0,14328,5002,16105,0,18,0.214384231586288,0.0,1,0,0,0,0,14,False,10878,249,0,False,204,0,0,27242,0,0,7,0,0,49,2,0,0,1,3078,0,2052,0,1073.3748263,0,0,256,0,0,0,0,13913,0,1,19,5005,0,0,1,1,0,False,21,0,Masgt7,0,2.333333333333333,NONE,4,0,2308,3143,,46291,0,0,0,0,0,1,1097,0,0,0
0,150,0,0,0,False,0,1,2791,0,18,0,6307,0,19,0,SUPPORT,1,68,0,1,200,1,15058,2,0,0,0.5616438356164384,Ekko,False,1,False,3,22,0,1,41,0,Invalid,10,1,16,0,0,1296,6,0,0,92,0,3157,3,0,True,3100,8,1,32,0,1,0,5008,4,0,1,0,7945,3,29,696.7775794613534,0.1541737805961915,31460,0,0,0,True,49,9,0,0,0,0,0,10466,0,0,0,0,1156.5370245953557,True,0,3102,0,0,30,0,33,0,24995,5002,25810,0,26,0.1559519676848352,0.0,1,0,0,0,0,22,False,12950,181,0,False,244,3040,0,29552,0,0,12,0,0,55,2,0,0,0,3111,0,2052,3040,1296.7367162,2,0,313,0,0,0,0,18072,1,13,30,5008,3040,0,0,0,0,False,7,0,Masgt7,3,4.555555555555555,MIDDLE,2,0,69211,3152,,79110,0,0,0,0,0,3,20774,0,0,0
0,600,0,0,0,False,0,5,1246,0,18,0,13525,0,11,0,DUO,0,111,0,1,455,0,17027,2,0,0,0.5342465753424658,Nidalee,False,2,False,5,0,0,1,39,1113,Invalid,107,0,15,0,0,1573,5,0,0,155,0,4645,0,0,False,3089,8,4,26,0,0,0,5008,2,0,1,0,3994,1,28,649.0613109887145,0.141058622825541,25836,0,0,0,False,39,14,3020,0,0,0,0,28205,0,0,0,2,1233.3819142896064,True,0,3135,0,0,82,0,147,0,32357,5002,31764,0,24,0.1746748227640703,1113.15380859375,0,0,0,0,0,16,False,14450,208,0,False,420,895,0,43162,0,0,11,0,0,34,3,0,0,1,6655,0,2052,895,1574.0856953,2,0,0,0,0,0,0,13706,0,6,14,5008,895,0,0,3,0,False,0,0,Masgt7,1,2.7857142857142856,MIDDLE,0,0,68579,2420,,74381,0,0,0,0,0,5,29304,0,0,0
0,450,0,0,0,False,0,1,34,0,13,0,483,0,20,0,SUPPORT,0,17,0,0,116,0,8584,1,0,0,0.5357142857142857,Xerath,False,2,False,1,7,0,0,15,0,Invalid,19,0,10,0,0,790,2,0,0,58,0,4645,4,0,False,0,0,4,10,0,0,0,5008,0,0,0,0,476,0,12,651.5912125750634,0.2109324100993553,6358,0,0,0,False,27,7,0,0,0,0,0,4652,0,0,0,0,938.8690434369068,True,0,1058,0,0,22,0,40,0,12369,5002,11299,0,15,0.1596563804335975,0.0,0,0,0,0,0,1,False,8550,167,0,False,162,0,0,12051,0,0,3,0,0,4,0,0,0,1,6655,0,2052,0,790.5212789999999,1,0,84,0,0,0,0,7131,0,3,2,5008,0,0,0,1,0,False,4,0,Masgt7,0,2.142857142857143,NONE,0,0,43891,3020,,44490,0,0,0,0,1,0,12212,0,0,0
0,1050,0,0,0,False,0,1,20954,0,16,0,2995,1,41,0,DUO,0,28,0,0,80,0,12927,1,0,0,0.58,Tristana,False,2,False,1,2,0,0,29,0,Invalid,6,0,16,0,0,973,10,0,0,26,0,3094,2,0,True,1038,4,1,16,0,0,0,5008,2,0,1,0,53631,2,22,796.7270802260268,0.1763336554074565,10649,0,0,0,False,60,8,0,0,0,0,2,10998,0,0,0,1,1448.4274410010794,True,0,6675,0,0,20,0,5,0,23501,5002,15891,0,26,0.1407637496196145,0.0,2,0,0,0,0,5,False,11900,205,0,False,212,4832,0,19183,0,0,7,0,530,0,2,0,0,0,6672,0,2052,4832,973.5509358,1,0,6,1,0,0,0,4585,5,1,0,5005,4832,0,0,0,1,False,5,0,Masgt7,2,3.625,NONE,1,0,7955,3006,,61736,0,0,0,0,0,0,2397,0,0,0
0,1125,0,0,0,False,0,5,923,0,18,0,11251,0,14,0,SUPPORT,0,91,0,1,360,0,15035,2,0,0,0.6296296296296297,Nidalee,False,3,False,3,0,0,1,34,3169,Invalid,79,1,19,0,0,1280,9,0,0,134,0,0,0,0,False,0,1,4,20,0,0,0,5008,5,0,0,0,3582,1,23,704.5301262972303,0.2213935461856145,10684,0,0,0,False,34,8,0,0,0,0,0,3324,0,0,0,0,1608.709741156685,True,0,0,0,0,56,0,15,0,34331,5002,21069,0,23,0.1655541616925465,3169.25732421875,1,0,0,0,0,7,False,21414,292,0,False,206,948,0,26895,0,0,11,0,0,44,3,0,0,2,0,0,2052,948,1280.4503124,1,0,0,0,0,0,0,22556,0,8,16,5008,948,0,0,2,0,False,0,0,Masgt7,1,4.25,TOP,1,0,58682,0,,62454,0,0,0,0,0,2,33217,0,0,0
0,150,0,0,0,False,0,1,11120,0,16,0,1876,0,36,0,SUPPORT,0,18,0,0,65,0,10797,1,1,0,0.3636363636363636,Twitch,False,0,False,3,1,0,0,16,0,Invalid,7,0,15,0,0,1024,3,0,0,30,0,3085,0,0,False,0,0,4,11,1,0,0,5008,2,0,0,0,40712,0,13,632.0292703424296,0.1423026288762518,9311,0,0,0,False,57,10,0,0,0,0,0,9222,0,0,0,0,800.1358454593808,True,0,3031,0,0,10,0,17,0,13669,5002,15494,0,15,0.1635348386070976,0.0,2,0,3,0,3,2,True,10400,158,0,False,252,0,0,20658,3,0,3,0,394,1,1,0,0,0,6672,0,2052,0,1025.0584332,1,0,61,0,0,0,0,10830,0,6,0,5005,0,0,0,1,0,False,0,0,Masgt7,0,1.6,NONE,2,0,3768,3006,,47734,0,0,0,0,0,1,877,0,0,0
0,1425,0,0,0,False,0,1,28233,0,18,0,4537,0,17,0,SUPPORT,2,73,0,1,261,2,17244,2,0,0,0.6964285714285714,LeeSin,False,1,False,4,25,0,1,39,0,Invalid,14,1,17,0,0,1303,5,0,0,98,0,6676,6,0,True,3053,6,2,22,0,0,0,5008,3,0,3,0,43675,3,22,793.7666761577963,0.2281694892704339,40709,0,0,0,False,35,12,3133,0,0,0,1,15909,0,0,0,6,1659.628149947924,True,0,6333,0,0,76,0,53,0,36054,5002,23676,0,29,0.1474564013486999,1323.0220947265625,0,0,0,0,0,15,False,14600,122,1,False,322,3425,0,28860,0,0,17,0,703,34,5,0,0,2,6691,0,2052,3425,1303.4823588,0,0,206,1,0,0,0,7730,16,12,10,5008,3425,0,1,0,1,False,40,0,Masgt7,3,3.25,TOP,9,0,26218,3047,,72535,0,0,0,0,0,1,6815,0,0,1323
0,1200,0,0,0,False,0,1,1108,0,17,0,4601,1,28,0,SUPPORT,0,40,0,2,205,0,13490,2,0,0,0.7045454545454546,Ahri,False,0,False,4,18,0,2,31,0,Invalid,31,1,16,0,0,1109,10,0,0,74,0,4645,14,0,False,0,4,4,20,0,0,0,5008,4,0,1,0,4929,1,22,729.133932529368,0.2406335522759446,15564,0,0,0,True,59,11,3158,0,0,0,1,13448,0,0,0,2,1558.2259604649244,True,0,3102,0,0,60,0,12,0,28830,5002,17355,0,25,0.158395088713014,0.0,0,0,0,0,0,11,False,12750,169,0,False,290,387,0,25762,0,0,9,0,0,123,2,0,0,0,6655,0,2052,387,1110.1312116,0,0,46,1,0,0,0,11487,0,17,48,5008,387,0,0,2,1,True,21,0,Masgt7,1,2.8181818181818183,NONE,3,0,50832,3157,,77536,0,0,0,0,0,1,17495,0,0,0
